District,Sub_District,Area_SqFt,BHK,Property_Type,Furnishing,Price_INR
Jayanagar,Jayanagar 3rd Block,1150,2,Apartment,Semi-Furnished,10200000
Jayanagar,Jayanagar 4th Block,1220,2,Apartment,Fully Furnished,12200000
Jayanagar,Jayanagar 5th Block,1200,2,Apartment,Semi-Furnished,11800000
Jayanagar,Jayanagar 9th Block,1250,3,Apartment,Semi-Furnished,12800000
Bellandur,Bellandur Main Road,1400,3,Apartment,Semi-Furnished,11500000
Bellandur,Sarjapur Road,1350,3,Apartment,Unfurnished,10800000
Bellandur,Kadubeesanahalli,1300,3,Apartment,Semi-Furnished,10200000
Sarjapur Road,Carmelaram,1250,3,Apartment,Semi-Furnished,9500000
Sarjapur Road,Dommasandra,1200,3,Apartment,Unfurnished,8800000
Sarjapur Road,Harlur,1300,3,Apartment,Semi-Furnished,10200000
Sarjapur Road,Wipro Circle,1350,3,Apartment,Fully Furnished,11200000
Hebbal,Hebbal Main Road,1200,2,Apartment,Semi-Furnished,9500000
Hebbal,Sahakarnagar,1180,2,Apartment,Unfurnished,8800000
Hebbal,RT Nagar,1150,2,Apartment,Semi-Furnished,8500000
Yelahanka,Yelahanka New Town,1300,3,Apartment,Semi-Furnished,8500000
Yelahanka,Kogilu,1250,3,Apartment,Unfurnished,7800000
Yelahanka,Attur,1200,3,Apartment,Semi-Furnished,7500000
Rajajinagar,Rajajinagar 1st Block,1150,2,Apartment,Semi-Furnished,9200000
Rajajinagar,Rajajinagar 2nd Block,1100,2,Apartment,Unfurnished,8500000
Rajajinagar,Rajajinagar 3rd Block,1200,2,Apartment,Semi-Furnished,9800000
Malleshwaram,Malleshwaram Circle,1100,2,Apartment,Semi-Furnished,10500000
Malleshwaram,15th Cross,1080,2,Apartment,Unfurnished,9800000
Malleshwaram,18th Cross,1120,2,Apartment,Semi-Furnished,11200000
Basavanagudi,Basavanagudi Main Road,1150,2,Apartment,Semi-Furnished,9800000
Basavanagudi,Bull Temple Road,1100,2,Apartment,Unfurnished,9200000
Basavanagudi,Gandhi Bazaar,1080,2,Apartment,Semi-Furnished,8800000
Koramangala,Koramangala 1st Block,2400,4,Independent House,Semi-Furnished,38500000
Koramangala,Koramangala 2nd Block,2300,4,Independent House,Fully Furnished,35500000
Koramangala,Koramangala 3rd Block,2200,4,Independent House,Unfurnished,32500000
Koramangala,Koramangala 4th Block,2500,5,Independent House,Semi-Furnished,42500000
Koramangala,Koramangala 5th Block,2400,4,Independent House,Semi-Furnished,38500000
Koramangala,Koramangala 6th Block,2350,4,Independent House,Unfurnished,35200000
Koramangala,Koramangala 7th Block,2450,4,Independent House,Fully Furnished,41500000
Koramangala,Koramangala 8th Block,2300,4,Independent House,Semi-Furnished,36800000
Whitefield,Brookefield,2600,5,Independent House,Fully Furnished,32500000
Whitefield,ITPL Main Road,2500,5,Independent House,Semi-Furnished,28500000
Whitefield,Varthur Road,2400,4,Independent House,Unfurnished,25500000
Whitefield,Whitefield Main Road,2700,5,Independent House,Semi-Furnished,33500000
Whitefield,Kadugodi,2550,5,Independent House,Semi-Furnished,30500000
Whitefield,Marathahalli,2650,5,Independent House,Fully Furnished,34500000
Electronic City,Phase 1,2800,5,Independent House,Semi-Furnished,28500000
Electronic City,Phase 2,2700,5,Independent House,Unfurnished,25500000
Electronic City,Bommasandra,2600,5,Independent House,Semi-Furnished,24500000
Electronic City,Chandapura,2500,4,Independent House,Unfurnished,22500000
Electronic City,Anekal,2400,4,Independent House,Semi-Furnished,21500000
Bannerghatta Road,Arekere,2500,4,Builder Floor,Semi-Furnished,28500000
Bannerghatta Road,Hulimavu,2400,4,Builder Floor,Unfurnished,24500000
Bannerghatta Road,Gottigere,2350,4,Builder Floor,Semi-Furnished,22500000
Bannerghatta Road,JP Nagar 9th Phase,2700,5,Independent House,Fully Furnished,32500000
Bannerghatta Road,Bilekahalli,2550,5,Independent House,Semi-Furnished,29500000
Indiranagar,Indiranagar 100 Feet Road,2300,4,Builder Floor,Fully Furnished,45500000
Indiranagar,Indiranagar 12th Main,2200,4,Builder Floor,Semi-Furnished,41500000
Indiranagar,Double Road,2400,4,Builder Floor,Fully Furnished,48500000
Indiranagar,CMH Road,2250,4,Builder Floor,Semi-Furnished,43500000
JP Nagar,JP Nagar 1st Phase,2400,4,Builder Floor,Semi-Furnished,32500000
JP Nagar,JP Nagar 2nd Phase,2350,4,Builder Floor,Unfurnished,28500000
JP Nagar,JP Nagar 3rd Phase,2300,4,Builder Floor,Semi-Furnished,26500000
JP Nagar,JP Nagar 4th Phase,2450,4,Builder Floor,Semi-Furnished,30500000
JP Nagar,JP Nagar 5th Phase,2400,4,Builder Floor,Unfurnished,28500000
JP Nagar,JP Nagar 6th Phase,2500,5,Independent House,Semi-Furnished,34500000
JP Nagar,JP Nagar 7th Phase,2550,5,Independent House,Semi-Furnished,36500000
JP Nagar,JP Nagar 8th Phase,2600,5,Independent House,Fully Furnished,39500000
HSR Layout,Sector 1,2700,5,Independent House,Fully Furnished,42500000
HSR Layout,Sector 2,2600,5,Independent House,Semi-Furnished,38500000
HSR Layout,Sector 3,2550,5,Independent House,Semi-Furnished,36500000
HSR Layout,Sector 4,2650,5,Independent House,Unfurnished,35500000
HSR Layout,Sector 6,2700,5,Independent House,Semi-Furnished,39500000
HSR Layout,Sector 7,2750,5,Independent House,Fully Furnished,43500000
BTM Layout,BTM 1st Stage,2200,4,Builder Floor,Semi-Furnished,28500000
BTM Layout,BTM 2nd Stage,2100,4,Builder Floor,Unfurnished,24500000
BTM Layout,Silk Board,2250,4,Builder Floor,Semi-Furnished,29500000
Jayanagar,Jayanagar 1st Block,2400,4,Builder Floor,Semi-Furnished,38500000
Jayanagar,Jayanagar 2nd Block,2350,4,Builder Floor,Unfurnished,34500000
Jayanagar,Jayanagar 3rd Block,2300,4,Builder Floor,Semi-Furnished,32500000
Jayanagar,Jayanagar 4th Block,2450,4,Builder Floor,Fully Furnished,41500000
Jayanagar,Jayanagar 5th Block,2400,4,Builder Floor,Semi-Furnished,38500000
Jayanagar,Jayanagar 9th Block,2500,5,Independent House,Semi-Furnished,42500000
Bellandur,Bellandur Main Road,2800,5,Independent House,Semi-Furnished,38500000
Bellandur,Sarjapur Road,2700,5,Independent House,Unfurnished,34500000
Bellandur,Kadubeesanahalli,2600,5,Independent House,Semi-Furnished,32500000
Sarjapur Road,Carmelaram,2500,4,Builder Floor,Semi-Furnished,32500000
Sarjapur Road,Dommasandra,2400,4,Builder Floor,Unfurnished,28500000
Sarjapur Road,Harlur,2600,5,Independent House,Semi-Furnished,34500000
Sarjapur Road,Wipro Circle,2700,5,Independent House,Fully Furnished,38500000
Hebbal,Hebbal Main Road,2400,4,Builder Floor,Semi-Furnished,32500000
Hebbal,Sahakarnagar,2350,4,Builder Floor,Unfurnished,28500000
Hebbal,RT Nagar,2300,4,Builder Floor,Semi-Furnished,26500000
Yelahanka,Yelahanka New Town,2600,5,Independent House,Semi-Furnished,28500000
Yelahanka,Kogilu,2500,4,Independent House,Unfurnished,24500000
Yelahanka,Attur,2400,4,Independent House,Semi-Furnished,23500000
Rajajinagar,Rajajinagar 1st Block,2300,4,Builder Floor,Semi-Furnished,30500000
Rajajinagar,Rajajinagar 2nd Block,2200,4,Builder Floor,Unfurnished,26500000
Rajajinagar,Rajajinagar 3rd Block,2400,4,Builder Floor,Semi-Furnished,32500000
Malleshwaram,Malleshwaram Circle,2200,4,Builder Floor,Semi-Furnished,35500000
Malleshwaram,15th Cross,2150,4,Builder Floor,Unfurnished,32500000
Malleshwaram,18th Cross,2250,4,Builder Floor,Semi-Furnished,38500000
Basavanagudi,Basavanagudi Main Road,2300,4,Builder Floor,Semi-Furnished,32500000
Basavanagudi,Bull Temple Road,2200,4,Builder Floor,Unfurnished,28500000
Basavanagudi,Gandhi Bazaar,2150,4,Builder Floor,Semi-Furnished,26500000
Koramangala,Koramangala 1st Block,800,1,Apartment,Semi-Furnished,8500000
Koramangala,Koramangala 2nd Block,750,1,Apartment,Fully Furnished,7800000
Koramangala,Koramangala 3rd Block,750,1,Apartment,Unfurnished,7200000
Koramangala,Koramangala 4th Block,850,1,Apartment,Semi-Furnished,9200000
Koramangala,Koramangala 5th Block,800,1,Apartment,Semi-Furnished,8800000
Koramangala,Koramangala 6th Block,780,1,Apartment,Unfurnished,7800000
Koramangala,Koramangala 7th Block,820,1,Apartment,Fully Furnished,9500000
Koramangala,Koramangala 8th Block,780,1,Apartment,Semi-Furnished,8500000
Whitefield,Brookefield,900,1,Apartment,Fully Furnished,6800000
Whitefield,ITPL Main Road,850,1,Apartment,Semi-Furnished,6200000
Whitefield,Varthur Road,800,1,Apartment,Unfurnished,5800000
Whitefield,Whitefield Main Road,900,1,Apartment,Semi-Furnished,6800000
Whitefield,Kadugodi,880,1,Apartment,Semi-Furnished,6500000
Whitefield,Marathahalli,920,1,Apartment,Fully Furnished,7200000
Electronic City,Phase 1,950,1,Apartment,Semi-Furnished,5800000
Electronic City,Phase 2,900,1,Apartment,Unfurnished,5200000
Electronic City,Bommasandra,850,1,Apartment,Semi-Furnished,4800000
Electronic City,Chandapura,800,1,Apartment,Unfurnished,4200000
Electronic City,Anekal,750,1,Apartment,Semi-Furnished,3800000
Bannerghatta Road,Arekere,850,1,Apartment,Semi-Furnished,5800000
Bannerghatta Road,Hulimavu,800,1,Apartment,Unfurnished,5200000
Bannerghatta Road,Gottigere,780,1,Apartment,Semi-Furnished,4800000
Bannerghatta Road,JP Nagar 9th Phase,900,1,Apartment,Fully Furnished,6500000
Bannerghatta Road,Bilekahalli,880,1,Apartment,Semi-Furnished,6200000
Indiranagar,Indiranagar 100 Feet Road,800,1,Apartment,Fully Furnished,10500000
Indiranagar,Indiranagar 12th Main,750,1,Apartment,Semi-Furnished,9500000
Indiranagar,Double Road,850,1,Apartment,Fully Furnished,11500000
Indiranagar,CMH Road,780,1,Apartment,Semi-Furnished,10200000
JP Nagar,JP Nagar 1st Phase,800,1,Apartment,Semi-Furnished,6500000
JP Nagar,JP Nagar 2nd Phase,780,1,Apartment,Unfurnished,5800000
JP Nagar,JP Nagar 3rd Phase,750,1,Apartment,Semi-Furnished,5500000
JP Nagar,JP Nagar 4th Phase,820,1,Apartment,Semi-Furnished,6200000
JP Nagar,JP Nagar 5th Phase,800,1,Apartment,Unfurnished,5800000
JP Nagar,JP Nagar 6th Phase,850,1,Apartment,Semi-Furnished,6800000
JP Nagar,JP Nagar 7th Phase,880,1,Apartment,Semi-Furnished,7200000
JP Nagar,JP Nagar 8th Phase,900,1,Apartment,Fully Furnished,7800000
HSR Layout,Sector 1,900,1,Apartment,Fully Furnished,8500000
HSR Layout,Sector 2,850,1,Apartment,Semi-Furnished,7800000
HSR Layout,Sector 3,880,1,Apartment,Semi-Furnished,7500000
HSR Layout,Sector 4,920,1,Apartment,Unfurnished,7200000
HSR Layout,Sector 6,900,1,Apartment,Semi-Furnished,8200000
HSR Layout,Sector 7,950,1,Apartment,Fully Furnished,9200000
BTM Layout,BTM 1st Stage,750,1,Apartment,Semi-Furnished,5800000
BTM Layout,BTM 2nd Stage,700,1,Apartment,Unfurnished,5200000
BTM Layout,Silk Board,780,1,Apartment,Semi-Furnished,6200000
Jayanagar,Jayanagar 1st Block,800,1,Apartment,Semi-Furnished,7800000
Jayanagar,Jayanagar 2nd Block,780,1,Apartment,Unfurnished,7200000
Jayanagar,Jayanagar 3rd Block,750,1,Apartment,Semi-Furnished,6800000
Jayanagar,Jayanagar 4th Block,820,1,Apartment,Fully Furnished,8500000
Jayanagar,Jayanagar 5th Block,800,1,Apartment,Semi-Furnished,8200000
Jayanagar,Jayanagar 9th Block,850,1,Apartment,Semi-Furnished,8800000
Bellandur,Bellandur Main Road,950,1,Apartment,Semi-Furnished,7800000
Bellandur,Sarjapur Road,900,1,Apartment,Unfurnished,7200000
Bellandur,Kadubeesanahalli,850,1,Apartment,Semi-Furnished,6800000
Sarjapur Road,Carmelaram,850,1,Apartment,Semi-Furnished,6200000
Sarjapur Road,Dommasandra,800,1,Apartment,Unfurnished,5800000
Sarjapur Road,Harlur,900,1,Apartment,Semi-Furnished,6800000
Sarjapur Road,Wipro Circle,950,1,Apartment,Fully Furnished,7500000
Hebbal,Hebbal Main Road,800,1,Apartment,Semi-Furnished,6200000
Hebbal,Sahakarnagar,780,1,Apartment,Unfurnished,5800000
Hebbal,RT Nagar,750,1,Apartment,Semi-Furnished,5500000
Yelahanka,Yelahanka New Town,900,1,Apartment,Semi-Furnished,5500000
Yelahanka,Kogilu,850,1,Apartment,Unfurnished,5200000
Yelahanka,Attur,800,1,Apartment,Semi-Furnished,4800000
Rajajinagar,Rajajinagar 1st Block,750,1,Apartment,Semi-Furnished,6200000
Rajajinagar,Rajajinagar 2nd Block,700,1,Apartment,Unfurnished,5500000
Rajajinagar,Rajajinagar 3rd Block,800,1,Apartment,Semi-Furnished,6800000
Malleshwaram,Malleshwaram Circle,750,1,Apartment,Semi-Furnished,7200000
Malleshwaram,15th Cross,720,1,Apartment,Unfurnished,6500000
Malleshwaram,18th Cross,780,1,Apartment,Semi-Furnished,7800000
Basavanagudi,Basavanagudi Main Road,750,1,Apartment,Semi-Furnished,6500000
Basavanagudi,Bull Temple Road,700,1,Apartment,Unfurnished,5800000
Basavanagudi,Gandhi Bazaar,680,1,Apartment,Semi-Furnished,5500000
Koramangala,Koramangala 1st Block,1600,3,Apartment,Semi-Furnished,19500000
Koramangala,Koramangala 2nd Block,1550,3,Apartment,Fully Furnished,18200000
Koramangala,Koramangala 3rd Block,1500,3,Apartment,Unfurnished,16500000
Koramangala,Koramangala 4th Block,1650,3,Apartment,Semi-Furnished,20500000
Koramangala,Koramangala 5th Block,1600,3,Apartment,Semi-Furnished,19800000
Koramangala,Koramangala 6th Block,1580,3,Apartment,Unfurnished,17800000
Koramangala,Koramangala 7th Block,1620,3,Apartment,Fully Furnished,21200000
Koramangala,Koramangala 8th Block,1550,3,Apartment,Semi-Furnished,18800000
Whitefield,Brookefield,1700,4,Apartment,Fully Furnished,16500000
Whitefield,ITPL Main Road,1650,4,Apartment,Semi-Furnished,15200000
Whitefield,Varthur Road,1600,4,Apartment,Unfurnished,14200000
Whitefield,Whitefield Main Road,1750,4,Apartment,Semi-Furnished,17200000
Whitefield,Kadugodi,1680,4,Apartment,Semi-Furnished,16200000
Whitefield,Marathahalli,1720,4,Apartment,Fully Furnished,17800000
Electronic City,Phase 1,1800,4,Apartment,Semi-Furnished,14500000
Electronic City,Phase 2,1750,4,Apartment,Unfurnished,13200000
Electronic City,Bommasandra,1700,4,Apartment,Semi-Furnished,12500000
Electronic City,Chandapura,1650,4,Apartment,Unfurnished,11500000
Electronic City,Anekal,1600,4,Apartment,Semi-Furnished,10800000
Bannerghatta Road,Arekere,1650,4,Apartment,Semi-Furnished,14200000
Bannerghatta Road,Hulimavu,1600,4,Apartment,Unfurnished,13200000
Bannerghatta Road,Gottigere,1580,3,Apartment,Semi-Furnished,12200000
Bannerghatta Road,JP Nagar 9th Phase,1750,4,Apartment,Fully Furnished,16500000
Bannerghatta Road,Bilekahalli,1680,4,Apartment,Semi-Furnished,15200000
Indiranagar,Indiranagar 100 Feet Road,1550,3,Apartment,Fully Furnished,23500000
Indiranagar,Indiranagar 12th Main,1500,3,Apartment,Semi-Furnished,21500000
Indiranagar,Double Road,1600,3,Apartment,Fully Furnished,25500000
Indiranagar,CMH Road,1520,3,Apartment,Semi-Furnished,22800000
JP Nagar,JP Nagar 1st Phase,1600,3,Apartment,Semi-Furnished,15500000
JP Nagar,JP Nagar 2nd Phase,1580,3,Apartment,Unfurnished,14200000
JP Nagar,JP Nagar 3rd Phase,1550,3,Apartment,Semi-Furnished,13800000
JP Nagar,JP Nagar 4th Phase,1620,3,Apartment,Semi-Furnished,15200000
JP Nagar,JP Nagar 5th Phase,1600,3,Apartment,Unfurnished,14500000
JP Nagar,JP Nagar 6th Phase,1650,4,Apartment,Semi-Furnished,17200000
JP Nagar,JP Nagar 7th Phase,1680,4,Apartment,Semi-Furnished,18200000
JP Nagar,JP Nagar 8th Phase,1700,4,Apartment,Fully Furnished,19500000
HSR Layout,Sector 1,1750,4,Apartment,Fully Furnished,21500000
HSR Layout,Sector 2,1700,4,Apartment,Semi-Furnished,19800000
HSR Layout,Sector 3,1680,4,Apartment,Semi-Furnished,18800000
HSR Layout,Sector 4,1720,4,Apartment,Unfurnished,18200000
HSR Layout,Sector 6,1750,4,Apartment,Semi-Furnished,20500000
HSR Layout,Sector 7,1780,4,Apartment,Fully Furnished,22500000
BTM Layout,BTM 1st Stage,1500,3,Apartment,Semi-Furnished,14200000
BTM Layout,BTM 2nd Stage,1450,3,Apartment,Unfurnished,12800000
BTM Layout,Silk Board,1520,3,Apartment,Semi-Furnished,14800000
Jayanagar,Jayanagar 1st Block,1600,3,Apartment,Semi-Furnished,18500000
Jayanagar,Jayanagar 2nd Block,1580,3,Apartment,Unfurnished,17200000
Jayanagar,Jayanagar 3rd Block,1550,3,Apartment,Semi-Furnished,16500000
Jayanagar,Jayanagar 4th Block,1620,3,Apartment,Fully Furnished,19500000
Jayanagar,Jayanagar 5th Block,1600,3,Apartment,Semi-Furnished,18800000
Jayanagar,Jayanagar 9th Block,1650,4,Apartment,Semi-Furnished,20500000
Bellandur,Bellandur Main Road,1800,4,Apartment,Semi-Furnished,19500000
Bellandur,Sarjapur Road,1750,4,Apartment,Unfurnished,18200000
Bellandur,Kadubeesanahalli,1700,4,Apartment,Semi-Furnished,17200000
Sarjapur Road,Carmelaram,1650,4,Apartment,Semi-Furnished,16200000
Sarjapur Road,Dommasandra,1600,4,Apartment,Unfurnished,14800000
Sarjapur Road,Harlur,1700,4,Apartment,Semi-Furnished,17200000
Sarjapur Road,Wipro Circle,1750,4,Apartment,Fully Furnished,18800000
Hebbal,Hebbal Main Road,1600,3,Apartment,Semi-Furnished,15500000
Hebbal,Sahakarnagar,1580,3,Apartment,Unfurnished,14500000
Hebbal,RT Nagar,1550,3,Apartment,Semi-Furnished,13800000
Yelahanka,Yelahanka New Town,1700,4,Apartment,Semi-Furnished,14200000
Yelahanka,Kogilu,1650,4,Apartment,Unfurnished,12800000
Yelahanka,Attur,1600,4,Apartment,Semi-Furnished,12200000
Rajajinagar,Rajajinagar 1st Block,1550,3,Apartment,Semi-Furnished,15200000
Rajajinagar,Rajajinagar 2nd Block,1500,3,Apartment,Unfurnished,13800000
Rajajinagar,Rajajinagar 3rd Block,1600,3,Apartment,Semi-Furnished,16200000
Malleshwaram,Malleshwaram Circle,1500,3,Apartment,Semi-Furnished,17200000
Malleshwaram,15th Cross,1480,3,Apartment,Unfurnished,15800000
Malleshwaram,18th Cross,1520,3,Apartment,Semi-Furnished,18200000
Basavanagudi,Basavanagudi Main Road,1550,3,Apartment,Semi-Furnished,16200000
Basavanagudi,Bull Temple Road,1500,3,Apartment,Unfurnished,14800000
Basavanagudi,Gandhi Bazaar,1480,3,Apartment,Semi-Furnished,14200000
Koramangala,Koramangala 1st Block,2200,5,Apartment,Semi-Furnished,32500000
Koramangala,Koramangala 2nd Block,2150,5,Apartment,Fully Furnished,29500000
Koramangala,Koramangala 3rd Block,2100,5,Apartment,Unfurnished,26500000
Koramangala,Koramangala 4th Block,2250,5,Apartment,Semi-Furnished,34500000
Koramangala,Koramangala 5th Block,2200,5,Apartment,Semi-Furnished,32800000
Koramangala,Koramangala 6th Block,2180,5,Apartment,Unfurnished,29800000
Koramangala,Koramangala 7th Block,2220,5,Apartment,Fully Furnished,35500000
Koramangala,Koramangala 8th Block,2150,5,Apartment,Semi-Furnished,31500000
Whitefield,Brookefield,2400,5,Apartment,Fully Furnished,28500000
Whitefield,ITPL Main Road,2350,5,Apartment,Semi-Furnished,26200000
Whitefield,Varthur Road,2300,5,Apartment,Unfurnished,24500000
Whitefield,Whitefield Main Road,2450,5,Apartment,Semi-Furnished,29500000
Whitefield,Kadugodi,2380,5,Apartment,Semi-Furnished,27800000
Whitefield,Marathahalli,2420,5,Apartment,Fully Furnished,30500000
Electronic City,Phase 1,2500,5,Apartment,Semi-Furnished,25500000
Electronic City,Phase 2,2450,5,Apartment,Unfurnished,23200000
Electronic City,Bommasandra,2400,5,Apartment,Semi-Furnished,22200000
Electronic City,Chandapura,2350,5,Apartment,Unfurnished,20500000
Electronic City,Anekal,2300,5,Apartment,Semi-Furnished,19500000
Bannerghatta Road,Arekere,2350,5,Apartment,Semi-Furnished,24500000
Bannerghatta Road,Hulimavu,2300,5,Apartment,Unfurnished,22500000
Bannerghatta Road,Gottigere,2280,5,Apartment,Semi-Furnished,21200000
Bannerghatta Road,JP Nagar 9th Phase,2450,5,Apartment,Fully Furnished,28500000
Bannerghatta Road,Bilekahalli,2380,5,Apartment,Semi-Furnished,26200000
Indiranagar,Indiranagar 100 Feet Road,2150,5,Apartment,Fully Furnished,42500000
Indiranagar,Indiranagar 12th Main,2100,5,Apartment,Semi-Furnished,38500000
Indiranagar,Double Road,2200,5,Apartment,Fully Furnished,45500000
Indiranagar,CMH Road,2120,5,Apartment,Semi-Furnished,40500000
JP Nagar,JP Nagar 1st Phase,2300,5,Apartment,Semi-Furnished,26500000
JP Nagar,JP Nagar 2nd Phase,2280,5,Apartment,Unfurnished,24200000
JP Nagar,JP Nagar 3rd Phase,2250,5,Apartment,Semi-Furnished,23500000
JP Nagar,JP Nagar 4th Phase,2320,5,Apartment,Semi-Furnished,26800000
JP Nagar,JP Nagar 5th Phase,2300,5,Apartment,Unfurnished,25200000
JP Nagar,JP Nagar 6th Phase,2350,5,Apartment,Semi-Furnished,28500000
JP Nagar,JP Nagar 7th Phase,2380,5,Apartment,Semi-Furnished,30200000
JP Nagar,JP Nagar 8th Phase,2400,5,Apartment,Fully Furnished,32500000
HSR Layout,Sector 1,2450,6,Apartment,Fully Furnished,38500000
HSR Layout,Sector 2,2400,6,Apartment,Semi-Furnished,35500000
HSR Layout,Sector 3,2380,6,Apartment,Semi-Furnished,33500000
HSR Layout,Sector 4,2420,6,Apartment,Unfurnished,32500000
HSR Layout,Sector 6,2450,6,Apartment,Semi-Furnished,36500000
HSR Layout,Sector 7,2480,6,Apartment,Fully Furnished,40500000
BTM Layout,BTM 1st Stage,2200,5,Apartment,Semi-Furnished,24500000
BTM Layout,BTM 2nd Stage,2150,5,Apartment,Unfurnished,22200000
BTM Layout,Silk Board,2220,5,Apartment,Semi-Furnished,25500000
Jayanagar,Jayanagar 1st Block,2300,5,Apartment,Semi-Furnished,32500000
Jayanagar,Jayanagar 2nd Block,2280,5,Apartment,Unfurnished,29500000
Jayanagar,Jayanagar 3rd Block,2250,5,Apartment,Semi-Furnished,28500000
Jayanagar,Jayanagar 4th Block,2320,5,Apartment,Fully Furnished,34500000
Jayanagar,Jayanagar 5th Block,2300,5,Apartment,Semi-Furnished,32800000
Jayanagar,Jayanagar 9th Block,2350,6,Apartment,Semi-Furnished,36500000
Bellandur,Bellandur Main Road,2500,6,Apartment,Semi-Furnished,34500000
Bellandur,Sarjapur Road,2450,6,Apartment,Unfurnished,31500000
Bellandur,Kadubeesanahalli,2400,6,Apartment,Semi-Furnished,29500000
Sarjapur Road,Carmelaram,2350,5,Apartment,Semi-Furnished,28500000
Sarjapur Road,Dommasandra,2300,5,Apartment,Unfurnished,25500000
Sarjapur Road,Harlur,2400,6,Apartment,Semi-Furnished,30500000
Sarjapur Road,Wipro Circle,2450,6,Apartment,Fully Furnished,33500000
Hebbal,Hebbal Main Road,2300,5,Apartment,Semi-Furnished,26500000
Hebbal,Sahakarnagar,2280,5,Apartment,Unfurnished,24500000
Hebbal,RT Nagar,2250,5,Apartment,Semi-Furnished,23200000
Yelahanka,Yelahanka New Town,2400,5,Apartment,Semi-Furnished,24500000
Yelahanka,Kogilu,2350,5,Apartment,Unfurnished,22200000
Yelahanka,Attur,2300,5,Apartment,Semi-Furnished,21200000
Rajajinagar,Rajajinagar 1st Block,2250,5,Apartment,Semi-Furnished,26500000
Rajajinagar,Rajajinagar 2nd Block,2200,5,Apartment,Unfurnished,23500000
