city,district,sub_district,area_sqft,bhk,property_type,furnishing,price_inr,price_per_sqft
Mumbai,Borivali,Borivali West,1700.0,3,Apartment,Unfurnished,16200000.0,9529.411764705883
Mumbai,Borivali,Borivali West,1900.0,3,Builder Floor,Unfurnished,22800000.0,12000.0
Mumbai,Borivali,Borivali West,2400.0,4,Apartment,Unfurnished,28800000.0,12000.0
Mumbai,Chembur,Chembur Colony,2200.0,4,Independent House,Semi-Furnished,38500000.0,17500.0
Mumbai,Chembur,Chembur Colony,900.0,1,Apartment,Semi-Furnished,9800000.0,10888.888888888889
Mumbai,Chembur,Chembur Colony,2700.0,5,Apartment,Semi-Furnished,42500000.0,15740.74074074074
Mumbai,Chembur,Chembur Colony,1300.0,3,Apartment,Semi-Furnished,14500000.0,11153.846153846154
Mumbai,Chembur,Chembur Colony,1800.0,4,Apartment,Semi-Furnished,24800000.0,13777.777777777777
Mumbai,Chembur,RCF Colony,1750.0,4,Apartment,Unfurnished,22500000.0,12857.142857142857
Mumbai,Chembur,RCF Colony,2100.0,4,Independent House,Unfurnished,35200000.0,16761.904761904763
Mumbai,Chembur,RCF Colony,1250.0,3,Apartment,Unfurnished,13200000.0,10560.0
Mumbai,Chembur,RCF Colony,2650.0,5,Apartment,Unfurnished,38500000.0,14528.301886792453
Mumbai,Chembur,RCF Colony,850.0,1,Apartment,Unfurnished,9200000.0,10823.529411764706
Mumbai,Dadar,Dadar East,750.0,1,Apartment,Unfurnished,12500000.0,16666.666666666668
Mumbai,Dadar,Dadar East,2450.0,4,Apartment,Unfurnished,48500000.0,19795.918367346938
Mumbai,Dadar,Dadar East,1050.0,2,Apartment,Unfurnished,16800000.0,16000.0
Mumbai,Dadar,Dadar East,1600.0,3,Apartment,Unfurnished,28800000.0,18000.0
Mumbai,Dadar,Dadar East,1700.0,3,Builder Floor,Unfurnished,41500000.0,24411.764705882353
Mumbai,Dadar,Dadar West,2500.0,4,Apartment,Semi-Furnished,52500000.0,21000.0
Mumbai,Dadar,Dadar West,1100.0,2,Apartment,Semi-Furnished,18200000.0,16545.454545454544
Mumbai,Dadar,Dadar West,1650.0,3,Apartment,Semi-Furnished,31500000.0,19090.909090909092
Mumbai,Dadar,Dadar West,800.0,1,Apartment,Semi-Furnished,13500000.0,16875.0
Mumbai,Dadar,Dadar West,1800.0,3,Builder Floor,Semi-Furnished,45200000.0,25111.11111111111
Mumbai,Ghatkopar,Ghatkopar East,1150.0,2,Apartment,Unfurnished,10800000.0,9391.304347826086
Mumbai,Ghatkopar,Ghatkopar East,1900.0,4,Builder Floor,Unfurnished,29800000.0,15684.21052631579
Mumbai,Ghatkopar,Ghatkopar East,800.0,1,Apartment,Unfurnished,7800000.0,9750.0
Mumbai,Ghatkopar,Ghatkopar East,2550.0,5,Apartment,Unfurnished,32200000.0,12627.450980392157
Mumbai,Ghatkopar,Ghatkopar East,1650.0,3,Apartment,Unfurnished,18800000.0,11393.939393939394
Mumbai,Ghatkopar,Ghatkopar West,1200.0,2,Apartment,Semi-Furnished,11800000.0,9833.333333333334
Mumbai,Ghatkopar,Ghatkopar West,2000.0,4,Builder Floor,Semi-Furnished,32500000.0,16250.0
Mumbai,Ghatkopar,Ghatkopar West,1700.0,3,Apartment,Semi-Furnished,20500000.0,12058.823529411764
Mumbai,Ghatkopar,Ghatkopar West,2600.0,5,Apartment,Semi-Furnished,35200000.0,13538.461538461539
Mumbai,Ghatkopar,Ghatkopar West,850.0,1,Apartment,Semi-Furnished,8500000.0,10000.0
Mumbai,Goregaon,Goregaon East,2600.0,5,Apartment,Unfurnished,38500000.0,14807.692307692309
Mumbai,Goregaon,Goregaon East,2000.0,4,Independent House,Unfurnished,34200000.0,17100.0
Mumbai,Goregaon,Goregaon East,1800.0,4,Apartment,Unfurnished,23200000.0,12888.888888888889
Mumbai,Goregaon,Goregaon East,800.0,1,Apartment,Unfurnished,8200000.0,10250.0
Mumbai,Goregaon,Goregaon East,1250.0,3,Apartment,Unfurnished,12800000.0,10240.0
Mumbai,Goregaon,Goregaon West,1850.0,4,Apartment,Semi-Furnished,25500000.0,13783.783783783783
Mumbai,Goregaon,Goregaon West,1300.0,3,Apartment,Semi-Furnished,14500000.0,11153.846153846154
Mumbai,Goregaon,Goregaon West,850.0,1,Apartment,Semi-Furnished,8800000.0,10352.941176470587
Mumbai,Goregaon,Goregaon West,2650.0,5,Apartment,Semi-Furnished,42500000.0,16037.735849056604
Mumbai,Goregaon,Goregaon West,2100.0,4,Independent House,Semi-Furnished,38500000.0,18333.333333333332
Mumbai,Jogeshwari,Jogeshwari East,2150.0,4,Apartment,Semi-Furnished,22500000.0,10465.116279069767
Mumbai,Jogeshwari,Jogeshwari East,1450.0,3,Apartment,Semi-Furnished,13200000.0,9103.448275862069
Mumbai,Jogeshwari,Jogeshwari East,900.0,2,Apartment,Semi-Furnished,7800000.0,8666.666666666666
Mumbai,Jogeshwari,Jogeshwari East,1400.0,3,Builder Floor,Semi-Furnished,16800000.0,12000.0
Mumbai,Jogeshwari,Jogeshwari East,650.0,1,Apartment,Semi-Furnished,5600000.0,8615.384615384615
Mumbai,Jogeshwari,Jogeshwari West,700.0,1,Apartment,Unfurnished,6000000.0,8571.42857142857
Mumbai,Jogeshwari,Jogeshwari West,1500.0,3,Builder Floor,Unfurnished,18200000.0,12133.333333333334
Mumbai,Jogeshwari,Jogeshwari West,1500.0,3,Apartment,Unfurnished,14500000.0,9666.666666666666
Mumbai,Jogeshwari,Jogeshwari West,950.0,2,Apartment,Unfurnished,8500000.0,8947.368421052632
Mumbai,Jogeshwari,Jogeshwari West,2200.0,4,Apartment,Unfurnished,24800000.0,11272.727272727272
Mumbai,Juhu,Juhu Beach,3200.0,6,Apartment,Fully Furnished,85000000.0,26562.5
Mumbai,Juhu,Juhu Beach,2200.0,4,Apartment,Fully Furnished,48500000.0,22045.454545454544
Mumbai,Juhu,Juhu Beach,3000.0,5,Independent House,Fully Furnished,95000000.0,31666.666666666668
Mumbai,Juhu,Juhu Beach,950.0,1,Apartment,Fully Furnished,18500000.0,19473.684210526317
Mumbai,Juhu,Juhu Beach,1500.0,3,Apartment,Fully Furnished,28500000.0,19000.0
Mumbai,Juhu,Juhu Scheme,900.0,1,Apartment,Semi-Furnished,16800000.0,18666.666666666668
Mumbai,Juhu,Juhu Scheme,3100.0,6,Apartment,Semi-Furnished,76500000.0,24677.41935483871
Mumbai,Juhu,Juhu Scheme,1400.0,3,Apartment,Semi-Furnished,24800000.0,17714.285714285714
Mumbai,Juhu,Juhu Scheme,2100.0,4,Apartment,Semi-Furnished,42800000.0,20380.95238095238
Mumbai,Juhu,Juhu Scheme,2800.0,5,Independent House,Semi-Furnished,82500000.0,29464.285714285714
Mumbai,Kandivali,Kandivali East,1600.0,3,Builder Floor,Semi-Furnished,19500000.0,12187.5
Mumbai,Kandivali,Kandivali East,2250.0,4,Apartment,Semi-Furnished,25200000.0,11200.0
Mumbai,Kandivali,Kandivali East,1000.0,2,Apartment,Semi-Furnished,8200000.0,8200.0
Mumbai,Kandivali,Kandivali East,1550.0,3,Apartment,Semi-Furnished,14500000.0,9354.838709677419
Mumbai,Kandivali,Kandivali East,700.0,1,Apartment,Semi-Furnished,5800000.0,8285.714285714286
Mumbai,Kandivali,Kandivali West,2300.0,4,Apartment,Unfurnished,27500000.0,11956.521739130434
Mumbai,Kandivali,Kandivali West,1600.0,3,Apartment,Unfurnished,15800000.0,9875.0
Mumbai,Kandivali,Kandivali West,1700.0,3,Builder Floor,Unfurnished,21200000.0,12470.588235294117
Mumbai,Kandivali,Kandivali West,750.0,1,Apartment,Unfurnished,6200000.0,8266.666666666666
Mumbai,Kandivali,Kandivali West,1050.0,2,Apartment,Unfurnished,8800000.0,8380.952380952382
Mumbai,Kanjurmarg,Kanjurmarg East,2550.0,5,Apartment,Unfurnished,29800000.0,11686.274509803921
Mumbai,Kanjurmarg,Kanjurmarg East,1150.0,2,Apartment,Unfurnished,9800000.0,8521.739130434782
Mumbai,Kanjurmarg,Kanjurmarg East,1800.0,3,Builder Floor,Unfurnished,24500000.0,13611.111111111111
Mumbai,Kanjurmarg,Kanjurmarg East,850.0,1,Apartment,Unfurnished,7200000.0,8470.588235294117
Mumbai,Kanjurmarg,Kanjurmarg East,1650.0,3,Apartment,Unfurnished,17200000.0,10424.242424242424
Mumbai,Kanjurmarg,Kanjurmarg West,2600.0,5,Apartment,Semi-Furnished,32500000.0,12500.0
Mumbai,Kanjurmarg,Kanjurmarg West,1200.0,2,Apartment,Semi-Furnished,10500000.0,8750.0
Mumbai,Kanjurmarg,Kanjurmarg West,1700.0,3,Apartment,Semi-Furnished,18500000.0,10882.35294117647
Mumbai,Kanjurmarg,Kanjurmarg West,900.0,1,Apartment,Semi-Furnished,7800000.0,8666.666666666666
Mumbai,Kanjurmarg,Kanjurmarg West,1900.0,3,Builder Floor,Semi-Furnished,26800000.0,14105.263157894737
Mumbai,Khar,Khar East,950.0,2,Apartment,Semi-Furnished,14200000.0,14947.368421052632
Mumbai,Khar,Khar East,2350.0,4,Apartment,Semi-Furnished,44200000.0,18808.510638297874
Mumbai,Khar,Khar East,700.0,1,Apartment,Semi-Furnished,11000000.0,15714.285714285714
Mumbai,Khar,Khar East,1550.0,3,Apartment,Semi-Furnished,25800000.0,16645.16129032258
Mumbai,Khar,Khar East,1500.0,3,Builder Floor,Semi-Furnished,31500000.0,21000.0
Mumbai,Khar,Khar West,750.0,1,Apartment,Fully Furnished,12200000.0,16266.666666666666
Mumbai,Khar,Khar West,1600.0,3,Builder Floor,Fully Furnished,35200000.0,22000.0
Mumbai,Khar,Khar West,1000.0,2,Apartment,Fully Furnished,16500000.0,16500.0
Mumbai,Khar,Khar West,2400.0,4,Apartment,Fully Furnished,48500000.0,20208.333333333332
Mumbai,Khar,Khar West,1600.0,3,Apartment,Fully Furnished,28500000.0,17812.5
Mumbai,Kurla,Kurla East,1500.0,3,Builder Floor,Semi-Furnished,20800000.0,13866.666666666666
Mumbai,Kurla,Kurla East,1500.0,3,Apartment,Semi-Furnished,14500000.0,9666.666666666666
Mumbai,Kurla,Kurla East,2300.0,4,Apartment,Semi-Furnished,24200000.0,10521.739130434782
Mumbai,Kurla,Kurla East,950.0,2,Apartment,Semi-Furnished,8600000.0,9052.631578947368
Mumbai,Kurla,Kurla East,700.0,1,Apartment,Semi-Furnished,6200000.0,8857.142857142857
Mumbai,Kurla,Kurla West,1600.0,3,Builder Floor,Unfurnished,22500000.0,14062.5
Mumbai,Kurla,Kurla West,2350.0,4,Apartment,Unfurnished,26500000.0,11276.595744680852
Mumbai,Kurla,Kurla West,1550.0,3,Apartment,Unfurnished,15800000.0,10193.548387096775
Mumbai,Kurla,Kurla West,1000.0,2,Apartment,Unfurnished,9200000.0,9200.0
Mumbai,Kurla,Kurla West,750.0,1,Apartment,Unfurnished,6800000.0,9066.666666666666
Mumbai,Lokhandwala,Lokhandwala Complex,850.0,1,Apartment,Fully Furnished,12800000.0,15058.823529411764
Mumbai,Lokhandwala,Lokhandwala Complex,2550.0,5,Apartment,Fully Furnished,48500000.0,19019.607843137255
Mumbai,Lokhandwala,Lokhandwala Complex,1750.0,3,Apartment,Fully Furnished,28800000.0,16457.14285714286
Mumbai,Lokhandwala,Lokhandwala Complex,1200.0,2,Apartment,Fully Furnished,16800000.0,14000.0
Mumbai,Lokhandwala,Lokhandwala Complex,1900.0,3,Builder Floor,Fully Furnished,35800000.0,18842.105263157893
Mumbai,Lokhandwala,New Lokhandwala,1800.0,3,Builder Floor,Semi-Furnished,32200000.0,17888.88888888889
Mumbai,Lokhandwala,New Lokhandwala,1150.0,2,Apartment,Semi-Furnished,15200000.0,13217.391304347826
Mumbai,Lokhandwala,New Lokhandwala,800.0,1,Apartment,Semi-Furnished,11800000.0,14750.0
Mumbai,Lokhandwala,New Lokhandwala,1700.0,3,Apartment,Semi-Furnished,26200000.0,15411.764705882353
Mumbai,Lokhandwala,New Lokhandwala,2500.0,5,Apartment,Semi-Furnished,44800000.0,17920.0
Mumbai,Malad,Malad East,1550.0,3,Apartment,Semi-Furnished,15500000.0,10000.0
Mumbai,Malad,Malad East,700.0,1,Apartment,Semi-Furnished,6200000.0,8857.142857142857
Mumbai,Malad,Malad East,950.0,2,Apartment,Semi-Furnished,8600000.0,9052.631578947368
Mumbai,Malad,Malad East,2250.0,4,Apartment,Semi-Furnished,26200000.0,11644.444444444445
Mumbai,Malad,Malad East,1500.0,3,Builder Floor,Semi-Furnished,17800000.0,11866.666666666666
Mumbai,Malad,Malad West,1600.0,3,Builder Floor,Unfurnished,19500000.0,12187.5
Mumbai,Malad,Malad West,2300.0,4,Apartment,Unfurnished,28500000.0,12391.304347826086
Mumbai,Malad,Malad West,1000.0,2,Apartment,Unfurnished,9800000.0,9800.0
Mumbai,Malad,Malad West,750.0,1,Apartment,Unfurnished,6800000.0,9066.666666666666
Mumbai,Malad,Malad West,1600.0,3,Apartment,Unfurnished,16800000.0,10500.0
Mumbai,Matunga,Matunga East,1700.0,3,Apartment,Unfurnished,25800000.0,15176.470588235294
Mumbai,Matunga,Matunga East,1150.0,2,Apartment,Unfurnished,15200000.0,13217.391304347826
Mumbai,Matunga,Matunga East,2600.0,5,Apartment,Unfurnished,44200000.0,17000.0
Mumbai,Matunga,Matunga East,1900.0,4,Builder Floor,Unfurnished,38200000.0,20105.263157894737
Mumbai,Matunga,Matunga East,800.0,1,Apartment,Unfurnished,11200000.0,14000.0
Mumbai,Matunga,Matunga West,1200.0,2,Apartment,Semi-Furnished,16500000.0,13750.0
Mumbai,Matunga,Matunga West,850.0,1,Apartment,Semi-Furnished,12200000.0,14352.941176470587
Mumbai,Matunga,Matunga West,2650.0,5,Apartment,Semi-Furnished,48500000.0,18301.88679245283
Mumbai,Matunga,Matunga West,2000.0,4,Builder Floor,Semi-Furnished,42500000.0,21250.0
Mumbai,Matunga,Matunga West,1750.0,3,Apartment,Semi-Furnished,28500000.0,16285.714285714286
Mumbai,Mulund,Mulund East,1800.0,4,Apartment,Unfurnished,19800000.0,11000.0
Mumbai,Mulund,Mulund East,2100.0,4,Independent House,Unfurnished,29500000.0,14047.619047619048
Mumbai,Mulund,Mulund East,900.0,1,Apartment,Unfurnished,8200000.0,9111.111111111111
Mumbai,Mulund,Mulund East,1250.0,3,Apartment,Unfurnished,11500000.0,9200.0
Mumbai,Mulund,Mulund East,2700.0,5,Apartment,Unfurnished,33500000.0,12407.407407407407
Mumbai,Mulund,Mulund West,2200.0,4,Independent House,Semi-Furnished,32200000.0,14636.363636363636
Mumbai,Mulund,Mulund West,1850.0,4,Apartment,Semi-Furnished,21500000.0,11621.621621621622
Mumbai,Mulund,Mulund West,950.0,1,Apartment,Semi-Furnished,8800000.0,9263.157894736842
Mumbai,Mulund,Mulund West,1300.0,3,Apartment,Semi-Furnished,12200000.0,9384.615384615385
Mumbai,Mulund,Mulund West,2750.0,5,Apartment,Semi-Furnished,36800000.0,13381.818181818182
Mumbai,Powai,Central Powai,1900.0,4,Apartment,Semi-Furnished,31500000.0,16578.947368421053
Mumbai,Powai,Central Powai,850.0,1,Apartment,Semi-Furnished,12200000.0,14352.941176470587
Mumbai,Powai,Central Powai,2300.0,4,Independent House,Semi-Furnished,58500000.0,25434.782608695652
Mumbai,Powai,Central Powai,1250.0,3,Apartment,Semi-Furnished,16800000.0,13440.0
Mumbai,Powai,Central Powai,2650.0,5,Apartment,Semi-Furnished,52500000.0,19811.32075471698
Mumbai,Powai,Hiranandani Gardens,2800.0,5,Apartment,Fully Furnished,58500000.0,20892.85714285714
Mumbai,Powai,Hiranandani Gardens,2000.0,4,Apartment,Fully Furnished,35000000.0,17500.0
Mumbai,Powai,Hiranandani Gardens,2500.0,5,Independent House,Fully Furnished,68000000.0,27200.0
Mumbai,Powai,Hiranandani Gardens,1400.0,3,Apartment,Fully Furnished,19500000.0,13928.57142857143
Mumbai,Powai,Hiranandani Gardens,900.0,1,Apartment,Fully Furnished,13500000.0,15000.0
Mumbai,Prabhadevi,Prabhadevi Main,2000.0,4,Apartment,Semi-Furnished,48500000.0,24250.0
Mumbai,Prabhadevi,Prabhadevi Main,3000.0,5,Apartment,Semi-Furnished,82500000.0,27500.0
Mumbai,Prabhadevi,Prabhadevi Main,1400.0,3,Apartment,Semi-Furnished,28500000.0,20357.14285714286
Mumbai,Prabhadevi,Prabhadevi Main,950.0,1,Apartment,Semi-Furnished,18200000.0,19157.894736842107
Mumbai,Prabhadevi,Prabhadevi Main,2500.0,4,Independent House,Semi-Furnished,78500000.0,31400.0
Mumbai,Prabhadevi,Siddhivinayak,2850.0,5,Apartment,Unfurnished,74500000.0,26140.35087719298
Mumbai,Prabhadevi,Siddhivinayak,900.0,1,Apartment,Unfurnished,16500000.0,18333.333333333332
Mumbai,Prabhadevi,Siddhivinayak,2300.0,4,Independent House,Unfurnished,68500000.0,29782.608695652172
Mumbai,Prabhadevi,Siddhivinayak,1900.0,4,Apartment,Unfurnished,42500000.0,22368.42105263158
Mumbai,Prabhadevi,Siddhivinayak,1300.0,3,Apartment,Unfurnished,25200000.0,19384.615384615383
Mumbai,Santacruz,Santacruz East,1700.0,3,Apartment,Semi-Furnished,24200000.0,14235.29411764706
Mumbai,Santacruz,Santacruz East,800.0,1,Apartment,Semi-Furnished,10200000.0,12750.0
Mumbai,Santacruz,Santacruz East,1800.0,3,Builder Floor,Semi-Furnished,28800000.0,16000.0
Mumbai,Santacruz,Santacruz East,2500.0,5,Apartment,Semi-Furnished,41500000.0,16600.0
Mumbai,Santacruz,Santacruz East,1150.0,2,Apartment,Semi-Furnished,13500000.0,11739.130434782608
Mumbai,Santacruz,Santacruz West,2550.0,5,Apartment,Fully Furnished,45200000.0,17725.49019607843
Mumbai,Santacruz,Santacruz West,1750.0,3,Apartment,Fully Furnished,26800000.0,15314.285714285714
Mumbai,Santacruz,Santacruz West,1900.0,3,Builder Floor,Fully Furnished,32500000.0,17105.263157894737
Mumbai,Santacruz,Santacruz West,1200.0,2,Apartment,Fully Furnished,15800000.0,13166.666666666666
Mumbai,Santacruz,Santacruz West,850.0,1,Apartment,Fully Furnished,11200000.0,13176.470588235294
Mumbai,Thane,Ghodbunder Road,1800.0,3,Apartment,Unfurnished,15500000.0,8611.111111111111
Mumbai,Thane,Ghodbunder Road,1300.0,3,Apartment,Unfurnished,8900000.0,6846.153846153846
Mumbai,Thane,Ghodbunder Road,2000.0,4,Independent House,Unfurnished,22500000.0,11250.0
Mumbai,Thane,Ghodbunder Road,950.0,1,Apartment,Unfurnished,6200000.0,6526.315789473684
Mumbai,Thane,Ghodbunder Road,2600.0,5,Apartment,Unfurnished,26500000.0,10192.307692307691
Mumbai,Thane,Kasarvadavali,2450.0,4,Apartment,Semi-Furnished,24200000.0,9877.551020408164
Mumbai,Thane,Kasarvadavali,900.0,1,Apartment,Semi-Furnished,5800000.0,6444.444444444444
Mumbai,Thane,Kasarvadavali,1800.0,3,Builder Floor,Semi-Furnished,18500000.0,10277.777777777777
Mumbai,Thane,Kasarvadavali,1700.0,3,Apartment,Semi-Furnished,14200000.0,8352.941176470587
Mumbai,Thane,Kasarvadavali,1150.0,2,Apartment,Semi-Furnished,7800000.0,6782.608695652174
Mumbai,Versova,New Versova,1600.0,3,Builder Floor,Unfurnished,24200000.0,15125.0
Mumbai,Versova,New Versova,1600.0,3,Apartment,Unfurnished,19800000.0,12375.0
Mumbai,Versova,New Versova,2400.0,4,Apartment,Unfurnished,33500000.0,13958.333333333334
Mumbai,Versova,New Versova,750.0,1,Apartment,Unfurnished,8600000.0,11466.666666666666
Mumbai,Versova,New Versova,1050.0,2,Apartment,Unfurnished,11500000.0,10952.380952380952
Mumbai,Versova,Versova Village,1700.0,3,Builder Floor,Semi-Furnished,26500000.0,15588.235294117647
Mumbai,Versova,Versova Village,1650.0,3,Apartment,Semi-Furnished,21500000.0,13030.30303030303
Mumbai,Versova,Versova Village,1100.0,2,Apartment,Semi-Furnished,12200000.0,11090.90909090909
Mumbai,Versova,Versova Village,2450.0,4,Apartment,Semi-Furnished,36800000.0,15020.408163265307
Mumbai,Versova,Versova Village,800.0,1,Apartment,Semi-Furnished,9200000.0,11500.0
Mumbai,Vikhroli,Vikhroli East,1200.0,3,Apartment,Unfurnished,12600000.0,10500.0
Mumbai,Vikhroli,Vikhroli East,2650.0,5,Apartment,Unfurnished,38200000.0,14415.094339622641
Mumbai,Vikhroli,Vikhroli East,2000.0,4,Independent House,Unfurnished,32500000.0,16250.0
Mumbai,Vikhroli,Vikhroli East,1750.0,4,Apartment,Unfurnished,22200000.0,12685.714285714286
Mumbai,Vikhroli,Vikhroli East,850.0,1,Apartment,Unfurnished,9200000.0,10823.529411764706
Mumbai,Vikhroli,Vikhroli West,1250.0,3,Apartment,Semi-Furnished,13800000.0,11040.0
Mumbai,Vikhroli,Vikhroli West,1800.0,4,Apartment,Semi-Furnished,24200000.0,13444.444444444445
Mumbai,Vikhroli,Vikhroli West,2100.0,4,Independent House,Semi-Furnished,35800000.0,17047.619047619046
Mumbai,Vikhroli,Vikhroli West,2700.0,5,Apartment,Semi-Furnished,41500000.0,15370.37037037037
Mumbai,Vikhroli,Vikhroli West,900.0,1,Apartment,Semi-Furnished,9800000.0,10888.888888888889
Mumbai,Vile Parle,Vile Parle East,1050.0,2,Apartment,Unfurnished,11800000.0,11238.095238095239
Mumbai,Vile Parle,Vile Parle East,1700.0,3,Builder Floor,Unfurnished,25200000.0,14823.529411764706
Mumbai,Vile Parle,Vile Parle East,1600.0,3,Apartment,Unfurnished,20800000.0,13000.0
Mumbai,Vile Parle,Vile Parle East,750.0,1,Apartment,Unfurnished,8800000.0,11733.333333333334
Mumbai,Vile Parle,Vile Parle East,2400.0,4,Apartment,Unfurnished,35500000.0,14791.666666666666
Mumbai,Vile Parle,Vile Parle West,1800.0,3,Builder Floor,Semi-Furnished,28500000.0,15833.333333333334
Mumbai,Vile Parle,Vile Parle West,1100.0,2,Apartment,Semi-Furnished,13200000.0,12000.0
Mumbai,Vile Parle,Vile Parle West,2450.0,4,Apartment,Semi-Furnished,38500000.0,15714.285714285714
Mumbai,Vile Parle,Vile Parle West,800.0,1,Apartment,Semi-Furnished,9500000.0,11875.0
Mumbai,Vile Parle,Vile Parle West,1650.0,3,Apartment,Semi-Furnished,22500000.0,13636.363636363636
Mumbai,Worli,Lower Parel,1200.0,2,Apartment,Fully Furnished,32500000.0,27083.333333333332
Mumbai,Worli,Lower Parel,1800.0,4,Apartment,Fully Furnished,45000000.0,25000.0
Mumbai,Worli,Lower Parel,3500.0,6,Independent House,Fully Furnished,125000000.0,35714.28571428572
Mumbai,Worli,Lower Parel,2500.0,5,Apartment,Fully Furnished,75000000.0,30000.0
Mumbai,Worli,Lower Parel,3800.0,6,Apartment,Fully Furnished,125000000.0,32894.73684210526
Mumbai,Worli,Worli Naka,2300.0,4,Apartment,Fully Furnished,65000000.0,28260.869565217392
Mumbai,Worli,Worli Naka,1650.0,3,Apartment,Fully Furnished,38500000.0,23333.333333333332
Mumbai,Worli,Worli Naka,3200.0,5,Independent House,Fully Furnished,108000000.0,33750.0
Mumbai,Worli,Worli Naka,1100.0,2,Apartment,Fully Furnished,28500000.0,25909.090909090908
Mumbai,Worli,Worli Naka,3600.0,6,Apartment,Fully Furnished,108000000.0,30000.0
